Функція: f(x) = 6 * x * exp(-x^2 / 6)
Інтервал: [-pi, pi]
Порядок наближення N = 10
Відносна похибка: 10.4213 %

Коефіцієнти Фур'є:
   k |    a_k (косинус) |      b_k (синус)
------------------------------------------
   0 |     0.000000e+00 |         0.000000
   1 |     0.000000e+00 |         6.728096
   2 |     0.000000e+00 |        -0.923588
   3 |     0.000000e+00 |         0.754180
   4 |     0.000000e+00 |        -0.573515
   5 |     0.000000e+00 |         0.460830
   6 |     0.000000e+00 |        -0.384765
   7 |     0.000000e+00 |         0.330134
   8 |     0.000000e+00 |        -0.289043
   9 |     0.000000e+00 |         0.257028
  10 |     0.000000e+00 |        -0.231388
